sort v2024,species_code,Clements v2024b change,text for website v2024b,category,English name,scientific name,range,order,family,extinct,extinct year,sort_v2023,de_name,es_name,ukrainian_name,ar_name
0,,,,,"Clements, J. F., P. C. Rasmussen, T. S. Schulenberg, M. J. Iliff, T. A. Fredericks, J. A. Gerbracht, D. Lepage, A. Spencer, S. M. Billerman, B. L. Sullivan, M. Smith, and C. L. Wood. 2024. The eBird/Clements checklist of birds of the world: v2024. Downloaded from https://www.birds.cornell.edu/clementschecklist/download/",,,,,,,,,,,
1,struth1,,,family,Ostriches,Struthionidae,,Struthioniformes,Struthionidae (Ostriches),,,1,Strauße,Avestruz,Страуси,نعام
2,ostric2,,,species,Common Ostrich,Struthio camelus,,Struthioniformes,Struthionidae (Ostriches),,,2,Gemeiner Strauß,Avestruz común,Звичайний страус,نعامة شائعة
3,comost1,,,subspecies,Ostrich,Struthio camelus camelus,Sahel of North Africa and the Sudan,Struthioniformes,Struthionidae (Ostriches),,,3,Strauß,Avestruz,Страус,نعامة
4,comost2,,,subspecies,Ostrich,Struthio camelus syriacus,formerly Syrian and Arabian desert; extinct ca. 1966,Struthioniformes,Struthionidae (Ostriches),1,1966,4,Syrischer Strauß,Struisión sirio,Сирійський страус,نعامة سورية
5,comost3,,,subspecies,Ostrich,Struthio camelus massaicus,southern Kenya and eastern Tanzania,Struthioniformes,Struthionidae (Ostriches),,,5,Ostrich,Avestruz,Страус,نعامة
6,comost4,,,subspecies,Common Ostrich,Struthio camelus australis,southern Africa,Struthioniformes,Struthionidae (Ostriches),,,6,Südlicher Strauß,Struisón del sur,Південний страус,نعامة جنوبية
7,ostric3,,,species,Somali Ostrich,Struthio molybdophanes,"desert to savanna plains of northeastern Africa, from northern Ethiopia, Djibouti, and Somalia southward through far southeastern South Sudan, and southeastern Kenya",Struthioniformes,Struthionidae (Ostriches),,,7,Somalischer Strauß,Struisión somalí,Сомалійський страус,نعامة صومالية
9,casuar1,,,family,Cassowaries and Emu,Casuariidae,,Casuariiformes,Casuariidae (Cassowaries and Emu),,,203,Kasuare,Casuarios,Касуарові,النعاميات
10,soucas1,,,species,Southern Cassowary,Casuarius casuarius,"humid forest of northeastern Australia, and New Guinea, including Aru Islands (off southwestern New Guinea)",Casuariiformes,Casuariidae (Cassowaries and Emu),,,204,Südlicher Kasuar,Casuario del Sur,Південний казуар,النعامة الجنوبية
11,dwacas1,subspecies revised,,species,Dwarf Cassowary,Casuarius bennetti,,Casuariiformes,Casuariidae (Cassowaries and Emu),,,205,Zwergechse,Casuario enano,Карликовий казуар,النعامة القزمة
11.1,dwacas2,new subspecies,"Recognize new subspecies Casuarius bennetti westermanni; modify range statement for nominate accordingly ",subspecies,Southern Cassowary,Casuarius bennetti westermanni,Vogelkop (northwestern New Guinea),Casuariiformes,Casuariidae (Cassowaries and Emu),,,,Bennett-Kasuar,Casuario de Bennett,Касуар Беннетта,النعامة البنمية
11.2,dwacas3,new subspecies,"Recognize new subspecies Casuarius bennetti bennetti; range of nominate changed to ""New Guinea (except Vogelkop), including Yapen (Cenderawasih Bay, off northwestern New Guinea), and New Britain""",subspecies,Southern Cassowary,Casuarius bennetti bennetti,"New Guinea (except Vogelkop), including Yapen (Cenderawasih Bay, off northwestern New Guinea), and New Britain",Casuariiformes,Casuariidae (Cassowaries and Emu),,,,Bennett-Wasservogel,Casuario de Bennett,Касуар Беннетта,النعامة البنمية
12,norcas1,,,species,Northern Cassowary,Casuarius unappendiculatus,"lowlands of New Guinea, including Raja Ampat Islands (off western New Guinea) and Yapen (Cenderawasih Bay, off northwestern New Guinea)",Casuariiformes,Casuariidae (Cassowaries and Emu),,,206,Nördlicher Kasuar,Casuario del Norte,Північний казуар,النعامة الشمالية
13,emu1,,,species,Emu,Dromaius novaehollandiae,,Casuariiformes,Casuariidae (Cassowaries and Emu),,,207,Emu,Emú,Ему,الإيمو
14,emu2,,,subspecies,Emu,Dromaius novaehollandiae novaehollandiae,Australia,Casuariiformes,Casuariidae (Cassowaries and Emu),,,208,Emu,Emú,Ему,الإيمو
15,emu3,,,subspecies,Emu,Dromaius novaehollandiae baudinianus,formerly Kangaroo Island (South Australia); extinct,Casuariiformes,Casuariidae (Cassowaries and Emu),1,1836,209,Emu,Emú,Ему,إيمو
16,emu4,,,subspecies,Emu,Dromaius novaehollandiae minor,"formerly King Island (Tasmania); extinct, last reported 1850",Casuariiformes,Casuariidae (Cassowaries and Emu),1,1850,210,Kükenemut,Emú menor,Ему малий,إيمو صغير
17,emu5,,,subspecies,Emu,Dromaius novaehollandiae diemenensis,formerly Tasmania; extinct ca. 1865,Casuariiformes,Casuariidae (Cassowaries and Emu),1,1865,211,Tasmanischer Emu,Emú de Tasmania,Ему тасманійський,إيمو تسماني
18,aptery1,,,family,Kiwis,Apterygidae,,Apterygiformes,Apterygidae (Kiwis),,,212,Kiwis,Kiwis,Ківі,كيوي
19,sobkiw1,,,species,Southern Brown Kiwi,Apteryx australis,,Apterygiformes,Apterygidae (Kiwis),,,213,Südlicher Braunkivi,Kiwi marrón del sur,Південний коричневий ківі,الكيwi البني الجنوبي
20,sobkiw2,,,group (monotypic),Southern Brown Kiwi (South I.),Apteryx australis australis,southwestern South Island (New Zealand),Apterygiformes,Apterygidae (Kiwis),,,214,Kiwi,Kiwi,Ківі,كيوي
21,sobkiw3,,,group (monotypic),Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Stewart Island (New Zealand),Apterygiformes,Apterygidae (Kiwis),,,215,Neuseeländischer Kiwi,Kiwi de Nueva Zelanda,Ківі новозеландський,الكيwi النيوزيلندي
